name,category,phone_number,address,website,latitude,longitude,place_id
Mahendra Electric Contractor-best electrician in indore,electrician,07389599110,"23/5, Parsi Mohalla, Chhawni, Indore, Madhya Pradesh 452001",https://mahendra-electricals-portfolio.framer.ai,,,
Sharfe Electrical Services,electrician,09128844486,"damru ustad Chauraha, Lal Gali, Kulkarni Ka Bhatta, Pardesipura, Indore, Madhya Pradesh 452003",https://sharfe-electrical.grexa.site,22.7460524,75.8666027,
Perfect Electrician service,electrician,08458894022,"Prem Nagar, near Musakhedi, Musakhedi, Indore, Madhya Pradesh 452001",,22.6918442,75.8903109,
"Durgesh Electrician, Door step Electric solution",electrician,09907142658,"in front of Apollo DB City, Apollo DB City, Nipania, Indore, Madhya Pradesh 452010",,,,
Shree Balaji Electricals Services,electrician,08225977292,"LG-17, Ahinsa Tower, Mahatma Gandhi Rd, Near Indraprastha Tower, South Tukoganj, Indore, Madhya Pradesh 452001",,,,
All electric working,electrician,08602267774,"37 Meena Palace, near, Eastern Ring Rd, Kohinoor Colony, Indore, Madhya Pradesh 452001",,,,
Jay Shri Ganesh Electric®,electrician,09713165903,"314/3sarvhara nagar, Teen Puliya, square, Indore, Madhya Pradesh 452003",https://jayshriganeshelectric.in,,,
Home electrician service,electrician,09165883432,"60, Airport Rd, Ratan Bagh Colony, Vyankatesh Nagar, Indore, Madhya Pradesh 452005",https://youtube.com,22.7289058,75.82202,
(JSS) Jay sanwariya Seth electricals sales and services,electrician,,"ambika chowk, 11/4 BK (2 no. Gali, Sindhi Colony, Indore, Madhya Pradesh 452001",,22.7030978,75.8641705,
Shubham Electrician,electrician,07089005616,"Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",,22.75521,75.8968202,
Rehaan Electrician,electrician,09669776325,"shsket 30 5, Sanvid Nagar, Indore, Madhya Pradesh 452018",,,,
Pankaj Electrician,electrician,,"318, Ward 35, Sunil Nagar, Malviya Nagar, Indore, Madhya Pradesh 452011",,,,
Electrician and Technician,electrician,07869092601,"Chota Bangarda, Indore, Madhya Pradesh 452005",,22.7422508,75.8145373,
B R electrician,electrician,09754057945,"55, 5, Tilak Nagar Main Rd, Sanvid Nagar, Indore, Madhya Pradesh 452011",,22.7302729,75.8876836,
"Daksha Electrical, Electrician home services",electrician,09669491424,"153 B, Veena Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,22.7602,75.867659,
Sonu Verma Electrician,electrician,09644488868,"28 /6, Pardesipura, Indore, Madhya Pradesh 452003",,22.7459572,75.8689566,
Electrician Rishabh,electrician,,"MVJ8+9P8, Nanak Nagar, Indore, Madhya Pradesh 452001",,22.6809079,75.8668301,
Rahul electric,electrician,09993050258,"408, 10, Dhar Rd, Ganga Nagar, Indore, Madhya Pradesh 452002",,,,
RathorJi Electrician,electrician,06268194477,"12, Vidur Nagar Rd, Hawa Bangala Rd, Indore, Madhya Pradesh 452009",,22.6806776,75.8152647,
Sawariya Electrical Consultancy,electrician,09131257898,"46/B, in front of Power House grid, near Little Angel School, Vandana Nagar Extension, Vandana Nagar, Indore, Madhya Pradesh 452018",https://sawariyaec.com,22.7149993,75.9010084,
Manjur home electrician service,electrician,,"Azad Nagar, Indore, Madhya Pradesh 452001",,22.696264,75.8875248,
Indore electrician service SKS,electrician,07509476680,"Baneshwar kund, Satya Sai Bagh Colony, Nanda Nagar, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",,,,
Electrician,electrician,,"all, 78, Scheme Number 78, Vijay Nagar, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",,22.7657262,75.8859572,
Nitesh Prajapati Electrician,electrician,07770808813,"Gali no.8 Ganesh Dham colony, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",,,,
Raj Verma electrician,electrician,09685898894,"265/2, Lalapura, Patni Pura, Indore, Madhya Pradesh 452003",,22.735354,75.8796867,
Ratnesh electrician,electrician,07073528131,"chota bhagda road, Shubham Palace, Indore, Madhya Pradesh 452005",,22.7376832,75.8272666,
G-9 ELECTRICAL AND ELECTRONICS SOLUTIONS,electrician,,"323, 3, Sarvahara Nagar, Pardesipura, Indore, Madhya Pradesh 452011",https://heylink.me,,,
Abhishek electrician and Contractor,electrician,09343363484,"776, Janta Quarters Main Rd, Nanda Nagar, Indore, Madhya Pradesh 452011",,22.7410153,75.8756881,
Gulshan electrician light fitting work,electrician,,"maruti place, 110, Kalani Nagar, Indore, Madhya Pradesh 452002",,22.7145753,75.8215762,
Neelu Electrician Branch,electrician,,"B/43, Vijay Nagar, Indore, Madhya Pradesh 452010",,22.754057,75.894387,
"Vikas Electrical services. All electric solutions, electrician in Indore",electrician,,"QV9H+WGF, Bulandshahr, Lahiya Colony, Indore, Madhya Pradesh 452010",,22.7698001,75.8788117,
Roshan electrical services indore,electrician,,"Yashoda Nagar, New Gouri Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,22.7544171,75.8634645,
Shiv Shakti electrical & contractor,electrician,07089314470,"Vijay Nagar, Kalpashree Colony, Indore, Madhya Pradesh 452011",,,,
Sanjay Jain,electrician,09893036918,"25, near Bafna kothi, Baxi Bagh Extension, Sadar Bazar, Indore, Madhya Pradesh 452006",,22.7265816,75.8534621,
Rajpoot electrician,electrician,,"bangali chouraha, Kali Mata Mandir Rd, near shitla, Suraj Nagar Main, Indore, Madhya Pradesh 452016",,,,
Thakur electrician and Contractor,electrician,,"776, Janta Quarters Main Rd, Nanda Nagar, Indore, Madhya Pradesh 452011",,,,
Gourav electrical indore,electrician,,"LIG Rd, Ambedkar Nagar, Indore, Madhya Pradesh 452011",,22.7322891,75.8850507,
Electrician,electrician,08888444976,"At post, Rajendra Nagar, Indore, Madhya Pradesh 452012",,22.67261,75.8310629,
Indrapal verma electrician,electrician,,"Geeta Bhavan Square, Geeta Nagar Colony, Geeta Nagar, Lalaram Nagar, Indore, Madhya Pradesh 452001",,22.7146355,75.894479,
