name,address,phone,category,area,lat,lng,place_id,url
Abhishek electrician and Contractor,"776, Janta Quarters Main Rd, Nanda Nagar, Indore, Madhya Pradesh 452011",,electrician,,,,,
Gulshan electrician light fitting work,"maruti place, 110, Kalani Nagar, Indore, Madhya Pradesh 452002",,electrician,,,,,
Neelu Electrician Branch,"B/43, Vijay Nagar, Indore, Madhya Pradesh 452010",,electrician,,,,,
"Vikas Electrical services. All electric solutions, electrician in Indore","QV9H+WGF, Bulandshahr, Lahiya Colony, Indore, Madhya Pradesh 452010",,electrician,,,,,
Roshan electrical services indore,"Yashoda Nagar, New Gouri Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,electrician,,,,,
Shiv Shakti electrical & contractor,"Vijay Nagar, Kalpashree Colony, Indore, Madhya Pradesh 452011",,electrician,,,,,
Sanjay Jain,"25, near Bafna kothi, Baxi Bagh Extension, Sadar Bazar, Indore, Madhya Pradesh 452006",,electrician,,,,,
Rajpoot electrician,"bangali chouraha, Kali Mata Mandir Rd, near shitla, Suraj Nagar Main, Indore, Madhya Pradesh 452016",,electrician,,,,,
Thakur electrician and Contractor,"776, Janta Quarters Main Rd, Nanda Nagar, Indore, Madhya Pradesh 452011",,electrician,,,,,
Gourav electrical indore,"LIG Rd, Ambedkar Nagar, Indore, Madhya Pradesh 452011",,electrician,,,,,
Electrician,"At post, Rajendra Nagar, Indore, Madhya Pradesh 452012",,electrician,,,,,
Indrapal verma electrician,"Geeta Bhavan Square, Geeta Nagar Colony, Geeta Nagar, Lalaram Nagar, Indore, Madhya Pradesh 452001",,electrician,,,,,
K K Electrical,"232-A, opposite Jardin Hotel, Tulsi Nagar, Nipania, Indore, Madhya Pradesh 452010",,electrician,,,,,
Darbar electrician indore,"Scheme No 78 - III, Sector B, Vijay Nagar, Aranya Nagar, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",,electrician,,,,,
